quartier,nb_ecran,nb_fauteils,nb_cinema,nb_kiosque,nb_musée,nb_cinema_pct,nb_kiosque_pct,nb_musée_pct,score, score_1_5 
75008,40,8615,9,37,6,12%,11%,9%,10,40628676, 1 
75001,26,3955,2,15,8,6%,5%,12%,8,01987571, 1 
75006,48,8581,15,18,4,12%,6%,6%,7,799085449, 1 
75009,22,5015,5,21,6,7%,6%,9%,7,635789598, 1 
75012,29,6690,3,17,4,9%,5%,6%,6,851654272, 2 
75007,2,392,1,12,8,1%,4%,12%,6,158206711, 2 
75014,42,6762,7,16,2,9%,5%,3%,5,52828447, 3 
75005,21,2348,12,17,5,3%,5%,7%,5,477827973, 3 
75015,23,4026,3,15,4,6%,5%,6%,5,476383495, 3 
75003,6,558,1,8,7,1%,2%,10%,5,316884565, 3 
75019,28,5577,5,8,2,8%,2%,3%,4,428857733, 4 
75013,30,5620,4,11,1,8%,3%,1%,4,010480958, 4 
75004,2,240,1,14,4,0%,4%,6%,3,648249243, 5 
75016,3,637,1,29,2,1%,9%,3%,3,573317193, 5 
75017,9,1540,4,22,2,2%,7%,3%,3,512877574, 5 
75002,13,5412,2,12,0,8%,4%,0%,3,33827748, 5 
75018,13,2311,2,14,2,3%,4%,3%,3,322503721, 5 
75010,7,899,3,12,2,1%,4%,3%,2,52910115, 6 
75011,9,1307,3,17,0,2%,5%,0%,1,773410305, 6 
75020,6,1238,1,9,0,2%,3%,0%,1,192645643, 6 
