quartier,score,classe,taux_NO2,ratio_arbres,ratio_dechet,ratio_parcs,pour_mag_bio
75001,2.70,1,56.82,10.69,3.88,2.65,2.73
75002,3.14,1,65.81,18.23,7.59,0.34,1.63
75003,4.43,4,47.82,9.62,13.45,2.18,4.91
75004,3.55,2,47.81,5.78,8.01,4.16,4.37
75005,4.17,4,47.83,10.39,10.78,3.29,4.37
75006,3.92,3,47.83,12.07,9.64,1.45,4.37
75007,5.30,5,33.87,4.66,12.72,9.69,1.63
75008,3.53,2,46.04,5.34,6.14,6.53,2.18
75009,3.57,2,52.76,18.30,6.60,0.84,4.91
75010,3.05,1,59.29,8.43,8.03,2.05,5.46
75011,3.72,3,47.88,6.36,9.69,2.84,11.47
75012,4.89,5,47.95,13.04,13.0,5.49,5.46
75013,4.95,5,31.58,4.24,12.80,5.26,4.37
75014,3.65,2,72.02,4.70,11.88,9.72,8.19
75015,5.82,5,28.85,4.92,15.42,8.50,8.19
75016,2.90,1,86.86,9.67,12.02,4.79,3.82
75017,4.16,4,42.22,5.15,8.93,7.14,9.83
75018,4.13,3,38.40,6.00,8.23,5.79,4.91
75019,3.99,3,38.40,4.75,6.53,7.87,2.73
75020,4.31,4,47.92,3.87,8.13,13.15,4.37
